date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:39	15456/15456	---MCZ	200	added ('OK')	text/html	etag:%221707835599-1%22	https://www.hoeve-oswald.be/en/floor-plans	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/en/floor-plans.html	(from https://www.hoeve-oswald.be/en/accommodation)
15:46:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202024%2014:46:39%20GMT	https://www.hoeve-oswald.be/en/node/9	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/en/node/9	(from https://www.hoeve-oswald.be/en/activities)
15:46:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202024%2014:46:40%20GMT	https://www.hoeve-oswald.be/en/node/13	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/en/node/13	(from https://www.hoeve-oswald.be/en/services)
15:46:40	14698/14698	---MCZ	404	error ('Not%20Found')	text/html	etag:%221707835600-1%22	https://www.hoeve-oswald.be/en/www.fysiodynamics.be	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/en/www.fysiodynamics.be	(from https://www.hoeve-oswald.be/en/services)
15:46:40	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202024%2014:46:40%20GMT	https://www.hoeve-oswald.be/nl/node/19	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/nl/node/19	(from https://www.hoeve-oswald.be/en/reservation)
15:46:40	57711/57711	---M-Z	200	added ('OK')	text/javascript	etag:%2241de-61099e1865f51%22	https://www.hoeve-oswald.be/sites/default/files/js/js_vO7NUNlBVdUSW2mcEg1gj7QDAOp52oHi_7BOiI7gqHI.js	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/sites/default/files/js/js_vO7NUNlBVdUSW2mcEg1gj7QDAOp52oHi_7BOiI7gqHI.js	(from https://www.hoeve-oswald.be/en/reservation)
15:46:40	17256/17256	---MCZ	200	added ('OK')	text/html	etag:%221707835601-1%22	https://www.hoeve-oswald.be/en/prices	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/en/prices.html	(from https://www.hoeve-oswald.be/en/reservation)
15:46:41	111099/111099	---MCZ	200	added ('OK')	text/html	etag:%221707835601-1%22	https://www.hoeve-oswald.be/en/calendar	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/en/calendar.html	(from https://www.hoeve-oswald.be/en/reservation)
15:46:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202024%2014:46:41%20GMT	https://www.hoeve-oswald.be/en/node/21	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/en/node/21	(from https://www.hoeve-oswald.be/en/contact)
15:46:41	35584/35584	---M-Z	200	added ('OK')	text/javascript	etag:%222c46-60fa8eff07a73%22	https://www.hoeve-oswald.be/sites/default/files/js/js_dPmffxXJGD8VYN_BsZ5j0c9F4Ek0FWLGIk5dEFbQoGA.js	C:/My%20Web%20Sites/HO_ALL/www.hoeve-oswald.be/sites/default/files/js/js_dPmffxXJGD8VYN_BsZ5j0c9F4Ek0FWLGIk5dEFbQoGA.js	(from https://www.hoeve-oswald.be/en/contact)
